title,subtitle,kicker,link,image
"Wie oft gab es bei Ihnen weiße Weihnachten?","Räumlich sehr detaillierte Daten zeigen, wann in Österreich zu Weihnachten
													wo Schnee lag – und was der Trend der Vergangenheit für die Zukunft
													vermuten lässt","Infografik","https://www.derstandard.at/story/3000000250175/wie-oft-gab-es-bei-ihnen-weisse-weihnachten","https://i.ds.at/9Ow3Fg/rs:fill:600:400/plain/lido-images/2024/12/22/54856193-b7a2-4a45-b190-ba51a121afc3.jpeg"
"Laut Fachleuten braucht es mehr Grün auf unseren Dächern","Sengende Hitze im Sommer und eine Menge Feinstaub werden in Städten
													zunehmend zum Problem. Pflanzen wirken gegen beides. Laut Fachleuten
													braucht es in Zukunft also mehr davon – und zwar auch auf unseren
													Dächern","Klimawandel","https://www.derstandard.at/story/3000000247676/laut-fachleuten-braucht-es-mehr-gruen-auf-unseren-daechern","https://i.ds.at/sjF1Rg/rs:fill:600:400/plain/lido-images/2024/12/12/e56717e7-ae5d-470c-888e-7c6796b9db08.jpeg"
"Umweltjournalismus-Preis 2024 an
													STANDARD-Beitrag über Artensterben","Alicia Prager, Philip Pramer, Flora Mory, Julia Sica, Marlene Erhart und
													das Datenteam wurden in der Kategorie ""Crossmedia"" ausgezeichnet","Auszeichnungen","https://www.derstandard.at/story/3000000247850/umweltjournalismus-preis-2024-an-standard-beitrag-ueber-artensterben","https://i.ds.at/nc3inQ/rs:fill:600:400/plain/lido-images/2024/12/04/047c93a9-0061-432d-8da5-b9bf2e7f3e62.jpeg"
"DER STANDARD mit Winfra-Preis der Wiener Stadtwerke ausgezeichnet","Yilmaz Gülüm gewann mit einem ""Eco""-Beitrag die Kategorie
													TV/Hörfunk,
													""Falter""-Redakteurin Katharina
													Kropshofer bei Print. Der Sonderpreis ging an die Plattform
													""Relevant""","Preise","https://www.derstandard.at/story/3000000247084/der-standard-mit-winfra-preis-der-wiener-stadtwerke-ausgezeichnet","https://i.ds.at/-p0Wuw/rs:fill:600:400/plain/lido-images/2024/11/29/555b82c6-fb44-46cb-abca-0548d8104d64.jpeg"
"So hat die Steiermark gewählt","Interaktive Grafiken und Karten mit den Ergebnissen der Landtagswahl 2024
													aus allen 286 steirischen Gemeinden","Landtagswahl","https://www.derstandard.at/story/3000000244443/so-hat-die-steiermark-gewaehlt","https://i.ds.at/ABIHAg/rs:fill:600:400/plain/lido-images/2024/11/11/f2727ce2-a937-4c29-b491-601910127093.jpeg"
"Ist endlich ein Höhepunkt fossiler Emissionen in Sicht?","Der globale CO2-Ausstoß erreicht einen neuen Rekordwert. Trotzdem sind
													Fachleute hoffnungsvoll, warnen aber vor Schäden durch Energiehunger und
													ChatGPT","Global Carbon Budget","https://www.derstandard.at/story/3000000244188/ist-endlich-ein-hoehepunkt-fossiler-emissionen-in-sicht","https://i.ds.at/A9RZOA/rs:fill:600:400/plain/lido-images/2024/11/12/e8d40b09-4834-4d8a-9679-2d2fdee17aa6.jpeg"
"Punsch um bis zu sechs Euro und Grant aufs Pfand: Die ersten
													Weihnachtsmärkte öffnen","Weihnachten nähert sich, da dürfen auch die Wiener
													Christkindlmärkte nicht fehlen – vor
													allem weil sie im Wintertourismus für die
													Hauptstadt eine wesentliche Rolle spielen","Zeit des (Aus)Gebens","https://www.derstandard.at/story/3000000243888/punsch-um-bis-zu-sechs-euro-und-grant-aufs-pfand-die-ersten-weihnachtsmaerkte-oeffnen","https://i.ds.at/mrTY3g/rs:fill:600:400/plain/lido-images/2024/11/07/a4d885aa-72b0-4042-b7a0-8b607da2f8be.jpeg"
"Die Wiener Weihnachtsmärkte starten
													– in Schönbrunn mit Karussell und Eislaufplatz","Der Markt vor Schloss Schönbrunn eröffnet bereits am 8. November. Nach 30
													Jahren richtet ihn eine neue Betreiberfirma aus. Und auch an anderen Orten
													beginnt bald das Gepunsche","Neues Konzept","https://www.derstandard.at/story/3000000242794/die-wiener-weihnachtsmaerkte-starten-in-schoenbrunn-mit-karussell-und-eislaufplatz","https://i.ds.at/-AnhRA/rs:fill:600:400/plain/lido-images/2024/10/31/b6716660-6775-46eb-8d90-ec3c03567cae.jpeg"
"Kompakter, andere
													Öffnungszeiten: Adventmarkt am Spittelberg
													hat heuer neue Regeln","Das neue Konzept soll Konflikte um Lärm, Platz und
													Verunreinigungen vergangener Jahre in dem
													Grätzel in Wien-Neubau hintanhalten","Gepunsche im Wohngebiet","https://www.derstandard.at/story/3000000242814/kompakter-andere-oeffnungszeiten-adventmarkt-am-spittelberg-hat-heuer-neue-regeln","https://i.ds.at/YM9Qhg/rs:fill:600:400/plain/lido-images/2024/10/29/14bad69d-08a5-435d-ae0c-8d5446145c45.jpeg"
"Halloween-Quiz: Können Sie KI-Bilder von
													echten Fotos unterscheiden?","Testen Sie Ihr Wissen rund um Fakes der
													Bildgeneratoren in unserem gruseligen Quiz.
													Es wird nicht leicht – manche Bilder wirken täuschend echt","Fake vs. Foto","https://www.derstandard.at/story/3000000241007/halloween-quiz-koennen-sie-ki-bilder-von-echten-fotos-unterscheiden","https://i.ds.at/Gx2WqA/rs:fill:600:400/plain/lido-images/2024/10/30/9610c880-ed21-4248-82ff-c57229eca057.jpeg"
"Neue Abgeordnete: Weniger Frauen als Neulinge im Parlament","Am Donnerstag werden die 183 Abgeordneten angelobt. Frauen und Menschen
													mit Migrationshintergrund sind im neuen
													Nationalrat unter-, Akademiker
													überrepräsentiert","Konstituierende Sitzung","https://www.derstandard.at/story/3000000241846/mehr-neue-gesichter-als-frauen-im-parlament","https://i.ds.at/GBgV4g/rs:fill:600:400/plain/lido-images/2024/10/23/8ec8aee1-8e0e-4b90-959a-cc8db9cc23f9.jpeg"
"Alle Ergebnisse der Vorarlberger Landtagswahl 2024","Interaktive Grafiken zum Stimmverhalten in den 96 Gemeinden des
													westlichsten Bundeslandes – inklusive Karten,
													Koalitionsrechner und
													Wählerstromanalyse","Landhaus neu","https://www.derstandard.at/story/3000000240220/alle-ergebnisse-der-vorarlberger-landtagswahl-2024","https://i.ds.at/M_jdwg/rs:fill:600:400/plain/lido-images/2024/10/10/7e096f93-3da7-406f-8697-bcc039ed22b6.jpeg"
"Wie hat Ihre Gemeinde gewählt?","Wir haben Resultate der historischen
													Nationalratswahl vom Sonntag in
													detaillierten Grafiken und Karten aufgearbeitet","Wahl 2024","https://www.derstandard.at/story/3000000237919/alle-ergebnisse-von-bund-bis-sprengel-und-karten-die-den-wahren-verhaeltnissen-naeherkommen","https://i.ds.at/RbYibw/rs:fill:600:400/plain/lido-images/2024/09/30/9ec00b85-7662-40fc-b49d-0c17a39d6989.png"
"Wählerstromanalyse: Historisch größte
													Wählerwanderung von der ÖVP zur FPÖ","Ehemalige türkise und
													Nichtwählerstimmen trugen stärker zum
													blauen Wahlsieg bei als eigene FPÖ-Stimmen des Jahres 2019","Nationalratswahl 2024","https://www.derstandard.at/story/3000000237892/waehlerstromanalyse-historisch-groesster-waehleraustausch-von-der-oevp-zur-fpoe","https://i.ds.at/cR-jqA/rs:fill:600:400/plain/lido-images/2024/09/30/b4805d56-65c1-4297-8f23-13e44436a986.jpeg"
"Das Ergebnis, die möglichen Koalitionen: Die
													Nationalratswahl 2024 im Überblick","Interaktive Grafiken zum
													hochgerechneten bundesweiten Resultat und
													den Koalitionsmöglichkeiten","Parlamentswahl 2024","https://www.derstandard.at/story/3000000237888/das-ergebnis-die-moeglichen-koalitionen-die-nationalratswahl-2024-im-ueberblick","https://i.ds.at/j3p1bg/rs:fill:600:400/plain/lido-images/2024/09/26/1c94ffcc-2594-4d52-8b2d-ce4687bdda40.jpeg"
"Nur zwei Prozent der Blauwähler stimmten wegen Herbert Kickl für die FPÖ","Die Wahlmotive laut
													Wahltagsbefragung: Regierungs erhielt
													katastrophale Noten, FPÖ konnte diesmal auch bei Frauen punkten","Wahlmotive","https://www.derstandard.at/story/3000000237895/nur-zwei-prozent-der-blauwaehler-stimmten-wegen-herbert-kickl-fuer-die-fpoe","https://i.ds.at/EgCuKA/rs:fill:600:400/plain/lido-images/2024/09/29/6e6877f9-865f-4f50-92b5-e7f2ce3ef622.jpeg"
"Der STANDARD-Wahlkompass: Diese Parteien
													sind Ihnen am nächsten","Die Orientierungshilfe zur
													Nationalratswahl: Finden Sie heraus, wie
													sehr Sie mit welcher Partei übereinstimmen","Interaktiv","https://www.derstandard.at/story/3000000227558/der-standard-wahlkompass-zur-nationalratswahl","https://i.ds.at/o0XgBw/rs:fill:600:400/plain/lido-images/2024/08/21/6a149184-72b0-4553-9b69-62d092b2120b.png"
"So heiß wird es bei Ihnen diese Woche","Die 33. Kalenderwoche wird heuer wohl eine der wärmsten. In manchen
													Regionen können die Temperaturen auf über 37 Grad Celsius steigen. Finden
													Sie es für Ihren Standort heraus","Infografik","https://www.derstandard.at/story/3000000232134/so-heiss-wird-es-bei-ihnen-diese-woche","https://i.ds.at/I8gvWw/rs:fill:600:400/plain/lido-images/2024/08/12/754b5222-a3c0-4b9c-96ca-ab54cf8bf75e.jpeg"
"Die komplexen Allianzen und ""die Achse des Widerstands"" im Nahen
													Osten","Seit der Tötung von Hamas-Chef Haniyeh schwört die ""Achse des
													Widerstands"" unter Führung des Iran, dem Erzfeind Israels Rache. Wie
													die Eskalation genau ausschauen würde, bleibt unklar","Nahost","https://www.derstandard.at/story/3000000231717/die-komplexen-allianzen-und-die-achse-des-widerstands-im-nahen-osten","https://i.ds.at/Ux6spQ/rs:fill:600:400/plain/lido-images/2024/08/09/72e23dbf-fdad-44c3-b4fd-63b613744abc.jpeg"
"Demokratische Spender überschütten Harris mit Geld und machen Trump nervös","Seit dem Rückzug Joe Bidens aus dem
													US-Präsidentschaftsrennen fließen Millionen
													von Dollar ins Wahlkampfbudget von Kamala
													Harris. Es wird wohl, wieder einmal, der teuerste Wahlkampf aller Zeiten","US-Wahlkampf","https://www.derstandard.at/story/3000000229946/demokratische-spender-ueberschuetten-harris-mit-geld-und-machen-trump-nervoes","https://i.ds.at/cX3qSg/rs:fill:600:400/plain/lido-images/2024/07/26/8c1e139c-410c-41cd-922e-4ecadd4e0b25.jpeg"
"Olympisches Surfen: Die Monsterwellen warten am Ende der Straße","Vom 27. Juli bis zum 5. August werden die olympischen
													Surfwettbewerbe auf Tahiti ausgetragen. Es
													könnte spektakulär werden","Tahiti","https://www.derstandard.at/story/3000000228469/olympisches-surfen-die-monsterwellen-warten-am-ende-der-strasse","https://i.ds.at/IamiJA/rs:fill:600:400/plain/lido-images/2024/07/19/ef7bb51f-0e38-4d37-b00f-37196fd5c93d.jpeg"
"Ö3-Verlust drückt Reichweite der ORF-Radios nach unten, Private legen zu","Die Privatradios kommen beim Gesamtpublikum gemeinsam auf 33,9 Prozent. Ö3
													liegt bei 29,9 Prozent, Ö1 erreicht 9,5 Prozent und FM4 3,8 Prozent","Neuer Radiotest","https://www.derstandard.at/story/3000000229857/oe3-verlust-drueckt-reichweite-der-orf-radios-nach-unten-private-legen-zu","https://i.ds.at/AoveXQ/rs:fill:600:400/plain/lido-images/2024/07/25/b4c5d402-5c17-4a3a-b8b4-d2047622f32c.jpeg"
"Österreichs größte Medienunternehmen 2024
													– Kürzungen und Verluste","Größte Medienhäuser, gereiht nach Umsatz 2023, von ORF, Red Bull Media
													House, Krone-Kurier-Verlag Mediaprint und
													Styria abwärts im STANDARD-Datenüberblick","STANDARD-Überblick","https://www.derstandard.at/story/3000000228974/oesterreichs-groesste-medienunternehmen-2024-kuerzungen-und-verluste","https://i.ds.at/LwPqLQ/rs:fill:600:400/plain/lido-images/2024/07/19/80db9b74-954a-48cb-bdbb-ff87db1025a1.jpeg"
"Fußball-EM lässt bei Servus TV Rekorde purzeln","Die erste Hälfte des
													Österreich-Spiels gegen die Niederlande
													hatte einen Marktanteil von 70 Prozent. Im Juni überholte Servus TV
													erstmals ORF 1","Quoten","https://www.derstandard.at/story/3000000226622/fussball-em-laesst-bei-servus-tv-rekorde-purzeln","https://i.ds.at/yLhPRw/rs:fill:600:400/plain/lido-images/2024/07/01/9cf5d091-6dbd-4b6a-ae29-76118f350d62.jpeg"
"Beschuss von Redaktionsbüro in Gaza: Zielt Israels Armee auf Medien?","Im November treffen Geschoße das Büro der
													Nachrichtenagentur AFP im Gazastreifen. Das
													israelische Militär streitet einen gezielten Angriff ab, doch eine
													Recherche legt das Gegenteil nahe","Israel","https://www.derstandard.at/story/3000000225203/gazakrieg-journalismus-in-truemmern","https://i.ds.at/OBpkIQ/rs:fill:600:400/plain/lido-images/2024/06/24/8c5d87f5-8dfa-43f0-a15e-c1cc78bce559.jpeg"
"ORF und STANDARD laut neuem Digital News Report
													vertrauenswürdigste Medien","Transparenz schafft Vertrauen in Medien. Was Menschen in Österreich von
													Medien erwarten. Vertrauen sinkt,
													Zahlungsbereitschaft für digitale News
													stagniert","Digital News Report","https://www.derstandard.at/story/3000000224242/orf-und-standard-laut-neuem-digital-news-report-vertrauenswuerdigste-medien","https://i.ds.at/EyB-fg/rs:fill:600:400/plain/lido-images/2024/06/16/19728359-62f1-4bcf-ace7-c1204992f372.jpeg"
"Ade Ahorn? Welche Straßenbäume den Klimawandel überleben","Den Spitzahorn wird es kaum noch geben, auch der Rosskastanie wird es zu
													heiß. In Städten werden heimische Bäume zunehmend durch andere Arten
													ersetzt. Können diese den widrigen Bedingungen trotzen?","Interaktiv","https://www.derstandard.at/story/3000000223469/ade-ahorn-welche-strassenbaeume-den-klimawandel-ueberleben","https://i.ds.at/PLJkqQ/rs:fill:600:400/plain/lido-images/2024/06/11/547ec769-df83-4d5f-aa0c-753e5468c168.jpeg"
